node_a,node_b,tech,start_time,end_time,duration,min_dist_m,max_dist_m,start_lat_a,start_lon_a,start_lat_b,start_lon_b,end_lat_a,end_lon_a,end_lat_b,end_lon_b
ESC2,V06,bluetooth,287.0,292.0,5.0,3.05,44.69,38.9049571,-77.0630856,38.9045567,-77.0630486,38.9045619,-77.0630923,38.9049519,-77.0630602
COI,V02,bluetooth,288.0,293.0,5.0,0.48,44.27,38.9116849,-77.0608715,38.9116965,-77.061374,38.911697,-77.0613778,38.9116993,-77.0608667
V02,V08,bluetooth,291.0,295.0,4.0,10.56,33.48,38.9116992,-77.0609937,38.9116883,-77.0606183,38.9116994,-77.0606127,38.9116959,-77.0609991
V07,WIS_N,wifi,285.0,297.0,12.0,6.42,61.58,38.9062842,-77.0601088,38.9063,-77.0594,38.9068526,-77.0594308,38.9063,-77.0594
ESC2,EDGE_0,wifi,287.0,302.0,15.0,0.8,63.14,38.9049571,-77.0630856,38.9044685,-77.0631,38.9041108,-77.0625343,38.9044685,-77.0631
V04,WIS_Q,wifi,291.0,303.0,12.0,6.04,61.55,38.9116995,-77.0586953,38.9117,-77.0594,38.9111474,-77.059374,38.9117,-77.0594
V05,EDGE_0,wifi,289.0,303.0,14.0,1.85,58.18,38.9049792,-77.0630998,38.9044685,-77.0631,38.9042003,-77.0625236,38.9044685,-77.0631
ESC1,V00,wifi,300.0,308.0,8.0,35.3,57.1,38.909443,-77.0630858,38.9099035,-77.062926,38.9099602,-77.0629032,38.9104517,-77.0630917
COI,V08,wifi,258.0,314.0,56.0,14.63,61.81,38.9098164,-77.0593999,38.9098994,-77.0601054,38.9117697,-77.0625106,38.9114438,-77.0630678
V02,V03,bluetooth,310.0,314.0,4.0,9.89,34.11,38.9117,-77.0585811,38.9116991,-77.0581874,38.9117,-77.0582002,38.9116994,-77.0585683
COI,V01,wifi,309.0,315.0,6.0,13.38,58.37,38.9117967,-77.0630174,38.9116787,-77.0624183,38.911763,-77.0623839,38.9116985,-77.0630527
V07,WIS_O,wifi,303.0,315.0,12.0,6.88,61.88,38.9075442,-77.0594137,38.9081,-77.0594,38.9080781,-77.0601106,38.9081,-77.0594
ESC2,V05,wifi,271.0,317.0,46.0,8.65,59.54,38.9062997,-77.0627766,38.9067578,-77.0630969,38.9043585,-77.0606575,38.9046557,-77.061229
ESC2,M_36,wifi,306.0,318.0,12.0,3.45,62.49,38.9041994,-77.0619097,38.9043,-77.0612,38.9043727,-77.0605319,38.9043,-77.0612
V00,V08,bluetooth,313.0,318.0,5.0,2.21,44.51,38.9110446,-77.0630956,38.9114438,-77.0630678,38.9114398,-77.0630983,38.9110486,-77.063076
V05,M_36,wifi,307.0,319.0,12.0,5.2,61.64,38.9042479,-77.0618917,38.9043,-77.0612,38.9048533,-77.0612255,38.9043,-77.0612
V00,V01,wifi,314.0,321.0,7.0,0.9,61.91,38.9111434,-77.0630963,38.9116985,-77.0630527,38.911664,-77.0630132,38.9111486,-77.0630923
COI,V03,bluetooth,327.0,331.0,4.0,10.14,33.88,38.9117062,-77.060737,38.9117,-77.060346,38.9117044,-77.0603561,38.9117,-77.0607269
V00,V03,bluetooth,333.0,337.0,4.0,11.76,31.44,38.9116965,-77.061374,38.9117,-77.0611079,38.9116992,-77.0609937,38.9114435,-77.0611479
ESC1,WIS_P,bluetooth,331.0,339.0,8.0,4.28,39.71,38.9099005,-77.0598584,38.9099,-77.0594,38.9099001,-77.0589696,38.9099,-77.0594
V04,WIS_O,wifi,327.0,339.0,12.0,1.71,64.29,38.9086775,-77.0593996,38.9081,-77.0594,38.9075905,-77.0594,38.9081,-77.0594
V05,V07,wifi,334.0,340.0,6.0,8.07,57.97,38.906434,-77.061201,38.9069546,-77.0611855,38.9069281,-77.0612007,38.9064606,-77.0611964
COI,WIS_Q,wifi,332.0,344.0,12.0,5.17,60.82,38.9117032,-77.0601021,38.9117,-77.0594,38.9117002,-77.0587055,38.9117,-77.0594
V06,M_36,bluetooth,336.0,344.0,8.0,7.23,40.23,38.9046614,-77.0612021,38.9043,-77.0612,38.9042894,-77.0616574,38.9043,-77.0612
ESC2,V04,wifi,347.0,349.0,2.0,62.35,62.58,38.9062688,-77.0598573,38.9067012,-77.0594,38.9062717,-77.0599843,38.9066024,-77.0594
ESC2,WIS_N,wifi,338.0,350.0,12.0,7.68,62.68,38.9057376,-77.0594338,38.9063,-77.0594,38.9062747,-77.0601112,38.9063,-77.0594
ESC2,V07,bluetooth,347.0,352.0,5.0,4.42,44.32,38.9062688,-77.0598573,38.9063194,-77.0603625,38.9062806,-77.060365,38.9063092,-77.0598547
V02,EDGE_3,bluetooth,349.0,352.0,3.0,35.55,42.44,38.9100606,-77.055705,38.9099,-77.0552994,38.9099341,-77.0557873,38.9099,-77.0552994
